Date,High,Low,Open,Close,Volume,Adj Close
26-06-2014,3418200,3199500,3401190,3215700,0,3215700
27-06-2014,3213270,2786400,3142800,3094200,0,3094200
30-06-2014,3231900,3069900,3231900,3142800,0,3142800
01-07-2014,3142800,3069900,3142800,3078000,0,3078000
02-07-2014,3207600,3061800,3126600,3086100,0,3086100
03-07-2014,3142800,3069900,3142800,3069900,0,3069900
07-07-2014,3069900,3037500,3061800,3061800,0,3061800
08-07-2014,3037500,2907900,3037500,2956500,0,2956500
09-07-2014,3029400,2924100,2924100,2980800,0,2980800
10-07-2014,3021300,2980800,2988900,2997000,0,2997000
11-07-2014,2932200,2835000,2924100,2916000,0,2916000
14-07-2014,3061800,2835000,2916000,2980800,0,2980800
15-07-2014,3231900,3005100,3159000,3102300,0,3102300
16-07-2014,3296700,2997000,3199500,3167100,0,3167100
17-07-2014,3248100,3053700,3134700,3215700,0,3215700
18-07-2014,3199500,2835000,3126600,3118500,0,3118500
21-07-2014,3123360,3037500,3118500,3118500,0,3118500
22-07-2014,3199500,2859300,3199500,3142800,0,3142800
23-07-2014,3150900,2956500,2956500,3118500,0,3118500
24-07-2014,3474900,3167100,3199500,3223800,0,3223800
25-07-2014,3361500,3183300,3240000,3265920,0,3265920
28-07-2014,3296700,3045600,3296700,3139560,0,3139560
29-07-2014,3240000,3037500,3170340,3159000,0,3159000
30-07-2014,3280500,3142800,3159000,3215700,0,3215700
31-07-2014,3256200,3078000,3240000,3094200,0,3094200
01-08-2014,3215700,3078000,3215700,3078000,0,3078000
04-08-2014,3215700,3037500,3191400,3191400,0,3191400
05-08-2014,3365550,3134700,3199500,3167100,0,3167100
06-08-2014,3231900,3029400,3231900,3053700,0,3053700
07-08-2014,3150900,2997000,3142800,2997000,0,2997000
08-08-2014,3207600,2940300,3110400,3110400,0,3110400
11-08-2014,3361500,3126600,3361500,3199500,0,3199500
12-08-2014,3231900,3175200,3191400,3231900,0,3231900
13-08-2014,3361500,3126600,3159000,3150900,0,3150900
14-08-2014,3369600,3142800,3316950,3309660,0,3309660
15-08-2014,3256200,3159000,3167100,3207600,0,3207600
18-08-2014,3604500,3126600,3150900,3288600,0,3288600
19-08-2014,3353400,3248100,3296700,3321000,0,3321000
20-08-2014,3280500,3126600,3215700,3134700,0,3134700
21-08-2014,3240000,2989710,3240000,2997000,0,2997000
22-08-2014,3086100,2997000,2997000,3005100,0,3005100
25-08-2014,3150900,2859300,3078000,2940300,0,2940300
26-08-2014,3053700,2956500,2959740,2956500,0,2956500
27-08-2014,2997000,2956500,2997000,2956500,0,2956500
28-08-2014,2988900,2916000,2925720,2988900,0,2988900
29-08-2014,3037500,2924100,3037500,3013200,0,3013200
02-09-2014,3061800,2721600,3061800,2729700,0,2729700
03-09-2014,2883600,2673000,2762100,2778300,0,2778300
04-09-2014,2907900,2527200,2802600,2527200,0,2527200
05-09-2014,2737800,2502900,2567700,2519100,0,2519100
08-09-2014,2551500,2486700,2494800,2532870,0,2532870
